tipo;sinal;limite;0;1;2;3;4;5
SOL;max;686,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
SOL;max;718,00;4,0%;0,7%;0,0%;0,0%;0,0%;0,0%
SOL;max;739,00;7,2%;2,7%;0,0%;0,0%;0,0%;0,0%
SOL;max;814,00;8,0%;4,5%;1,0%;0,0%;0,0%;0,0%
SOL;max;922,00;10,2%;6,8%;3,5%;0,0%;0,0%;0,0%
SOL;max;1005,00;11,4%;8,0%;5,7%;1,4%;0,0%;0,0%
SOL;max;1065,00;12,2%;8,9%;6,6%;3,3%;0,0%;0,0%
SOL;max;1143,00;13,2%;10,8%;8,4%;5,1%;2,7%;0,2%
SOL;max;1225,00;14,2%;11,9%;9,4%;6,1%;3,6%;1,2%
SOL;max;1321,00;15,3%;12,9%;10,6%;7,1%;4,6%;2,2%
SOL;max;1424,00;16,3%;13,9%;11,5%;8,1%;6,6%;4,0%
SOL;max;1562,00;17,3%;14,9%;12,4%;10,1%;7,6%;5,0%
SOL;max;1711,00;18,7%;16,4%;14,9%;11,5%;9,0%;6,6%
SOL;max;1870,00;20,1%;18,3%;17,4%;14,6%;12,6%;11,8%
SOL;max;1977,00;21,1%;19,5%;18,3%;15,6%;14,6%;12,6%
SOL;max;2090,00;22,1%;20,4%;19,4%;16,5%;15,6%;13,6%
SOL;max;2218,00;23,0%;21,5%;20,5%;17,6%;16,6%;14,6%
SOL;max;2367,00;24,0%;22,4%;21,5%;18,6%;17,7%;15,6%
SOL;max;2535,00;25,0%;24,4%;22,4%;20,6%;18,6%;17,7%
SOL;max;2767,00;26,0%;25,3%;23,5%;21,6%;19,6%;18,6%
SOL;max;3104,00;27,2%;26,6%;24,7%;22,7%;20,8%;19,8%
SOL;max;3534,00;28,8%;28,5%;27,0%;25,4%;24,8%;23,2%
SOL;max;4118,00;29,9%;29,7%;27,9%;26,4%;25,8%;25,2%
SOL;max;4650,00;31,7%;31,2%;29,6%;27,8%;27,2%;26,7%
SOL;max;5194,00;32,6%;32,1%;31,6%;29,1%;28,2%;27,6%
SOL;max;5880,00;33,6%;33,1%;32,5%;30,0%;29,4%;28,6%
SOL;max;6727,00;35,6%;35,2%;34,4%;32,5%;32,1%;31,8%
SOL;max;7939,00;36,6%;36,2%;35,8%;34,5%;33,1%;32,7%
SOL;max;9560,00;38,5%;38,1%;37,7%;36,5%;36,1%;34,7%
SOL;max;11282,00;39,5%;39,1%;38,7%;37,8%;37,0%;35,7%
SOL;max;18854,00;40,5%;40,1%;39,7%;38,8%;38,4%;36,7%
SOL;max;20221,00;41,5%;41,1%;40,7%;39,8%;39,4%;37,6%
SOL;max;22749,00;42,2%;42,0%;41,7%;40,8%;40,4%;38,8%
SOL;max;25276,00;43,2%;43,0%;42,6%;41,7%;41,4%;40,0%
SOL;min;25276,00;44,2%;44,0%;43,6%;42,7%;42,3%;41,0%
CAS1;max;686,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
CAS1;max;708,00;2,3%;0,0%;0,0%;0,0%;0,0%;0,0%
CAS1;max;754,00;3,3%;0,0%;0,0%;0,0%;0,0%;0,0%
CAS1;max;794,00;4,7%;0,9%;0,0%;0,0%;0,0%;0,0%
CAS1;max;836,00;5,6%;1,8%;0,9%;0,0%;0,0%;0,0%
CAS1;max;886,00;6,5%;3,7%;1,2%;0,0%;0,0%;0,0%
CAS1;max;974,00;7,3%;4,6%;2,9%;0,0%;0,0%;0,0%
CAS1;max;1081,00;8,1%;5,5%;3,7%;1,0%;0,0%;0,0%
CAS1;max;1225,00;9,2%;6,9%;4,7%;2,0%;0,0%;0,0%
CAS1;max;1404,00;10,7%;8,9%;7,1%;4,3%;2,6%;1,7%
CAS1;max;1629,00;11,7%;10,0%;8,1%;6,3%;4,5%;2,7%
CAS1;max;1733,00;13,1%;11,4%;10,6%;7,7%;5,9%;5,1%
CAS1;max;1849,00;14,0%;12,4%;11,7%;9,0%;7,3%;6,5%
CAS1;max;1998,00;15,0%;13,3%;12,5%;10,0%;9,2%;7,4%
CAS1;max;2157,00;16,0%;14,3%;13,5%;10,9%;10,2%;8,5%
CAS1;max;2247,00;17,0%;16,3%;14,6%;11,9%;11,1%;9,5%
CAS1;max;2566,00;17,8%;17,2%;15,6%;13,8%;12,1%;11,4%
CAS1;max;2934,00;18,9%;18,2%;16,6%;14,8%;13,1%;12,3%
CAS1;max;3356,00;21,5%;21,4%;19,8%;18,4%;17,1%;16,7%
CAS1;max;3611,00;22,4%;22,3%;21,0%;19,4%;19,0%;17,6%
CAS1;max;3882,00;23,4%;23,3%;22,0%;20,6%;20,0%;18,6%
CAS1;max;4210,00;24,4%;24,3%;22,9%;21,6%;21,2%;20,6%
CAS1;max;4604,00;25,9%;25,3%;23,9%;22,5%;22,1%;21,8%
CAS1;max;576,00;26,9%;26,3%;25,9%;23,5%;23,1%;22,7%
CAS1;max;5654,00;27,8%;27,2%;26,9%;24,5%;24,1%;23,7%
CAS1;max;6381,00;28,8%;28,2%;27,8%;25,5%;25,1%;24,7%
CAS1;max;7323,00;29,7%;29,6%;29,2%;27,0%;26,9%;26,7%
CAS1;max;8441,00;30,7%;30,6%;30,4%;29,0%;27,8%;27,6%
CAS1;max;9336,00;32,1%;32,0%;31,9%;30,7%;29,3%;29,1%
CAS1;max;10448,00;33,1%;33,0%;32,8%;31,7%;31,5%;30,0%
CAS1;max;10013,00;34,4%;34,3%;33,8%;32,6%;32,4%;31,3%
CAS1;max;20118,00;36,4%;36,3%;36,2%;35,1%;34,9%;33,7%
CAS1;max;22749,00;37,3%;37,2%;37,1%;36,5%;35,9%;34,7%
CAS1;max;25276,00;38,3%;38,2%;38,1%;37,4%;37,2%;35,7%
CAS1;max;28309,00;39,3%;39,2%;39,1%;38,4%;38,2%;37,0%
CAS1;min;28309,00;40,3%;40,2%;40,1%;39,4%;39,2%;38,0%
CAS2;max;686,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
CAS2;max;718,00;4,0%;1,2%;0,8%;0,3%;0,0%;0,0%
CAS2;max;739,00;7,2%;4,3%;2,5%;0,6%;0,0%;0,0%
CAS2;max;814,00;8,0%;5,2%;3,4%;2,5%;0,6%;0,0%
CAS2;max;922,00;10,2%;7,4%;6,6%;3,8%;3,1%;1,2%
CAS2;max;1005,00;11,4%;8,7%;7,9%;5,2%;4,4%;3,1%
CAS2;max;1065,00;12,2%;9,6%;8,7%;6,1%;4,8%;3,9%
CAS2;max;1143,00;13,2%;11,5%;10,7%;8,0%;7,2%;5,4%
CAS2;max;1225,00;14,2%;12,5%;11,6%;9,0%;8,1%;6,4%
CAS2;max;1321,00;15,3%;14,5%;12,7%;10,8%;9,1%;8,2%
CAS2;max;1424,00;16,3%;15,5%;13,7%;12,0%;10,1%;9,3%
CAS2;max;1562,00;17,3%;16,6%;14,7%;12,9%;11,2%;10,3%
CAS2;max;1711,00;18,7%;17,9%;16,3%;14,4%;13,5%;11,8%
CAS2;max;1870,00;20,1%;19,5%;17,8%;16,2%;15,4%;13,6%
CAS2;max;1977,00;21,1%;20,6%;18,7%;17,1%;16,3%;14,6%
CAS2;max;2090,00;22,1%;21,6%;19,8%;17,9%;17,2%;16,5%
CAS2;max;2218,00;23,0%;22,5%;20,9%;19,1%;18,1%;17,5%
CAS2;max;2367,00;24,0%;23,6%;22,8%;20,1%;19,3%;18,4%
CAS2;max;2535,00;25,0%;24,6%;23,8%;21,2%;20,4%;19,6%
CAS2;max;2767,00;26,0%;25,5%;24,8%;22,1%;21,4%;20,6%
CAS2;max;3104,00;27,2%;26,8%;26,0%;23,3%;22,5%;21,8%
CAS2;max;3534,00;28,8%;28,7%;28,3%;26,0%;25,6%;25,2%
CAS2;max;4118,00;29,9%;29,8%;29,3%;27,9%;26,6%;26,2%
CAS2;max;4650,00;31,7%;31,4%;31,0%;29,3%;28,0%;27,6%
CAS2;max;5194,00;32,6%;32,3%;31,9%;30,6%;29,9%;28,6%
CAS2;max;5880,00;33,6%;33,3%;32,9%;31,6%;31,2%;29,5%
CAS2;max;6727,00;35,6%;35,4%;34,8%;34,1%;33,9%;33,7%
CAS2;max;7939,00;36,6%;36,4%;36,2%;35,1%;34,9%;34,7%
CAS2;max;9560,00;38,5%;38,3%;38,1%;37,0%;36,8%;36,7%
CAS2;max;11282,00;39,5%;39,3%;39,1%;38,4%;37,8%;37,6%
CAS2;max;18854,00;40,5%;40,3%;40,1%;39,4%;39,2%;38,6%
CAS2;max;20221,00;41,5%;41,3%;41,1%;40,4%;40,2%;39,6%
CAS2;max;22749,00;42,2%;42,1%;42,0%;41,4%;41,2%;40,8%
CAS2;max;25276,00;43,2%;43,1%;43,0%;42,3%;42,1%;41,9%
CAS2;min;25276,00;44,2%;44,1%;44,0%;43,3%;43,1%;42,9%
SOL+DEF;max;1310,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
SOL+DEF;max;1414,00;1,2%;0,0%;0,0%;0,0%;0,0%;0,0%
SOL+DEF;max;1455,00;4,1%;0,6%;0,0%;0,0%;0,0%;0,0%
SOL+DEF;max;1639,00;5,1%;2,6%;0,0%;0,0%;0,0%;0,0%
SOL+DEF;max;1956,00;6,6%;4,7%;3,7%;0,2%;0,0%;0,0%
SOL+DEF;max;2079,00;8,0%;6,2%;5,2%;2,2%;1,2%;0,0%
SOL+DEF;max;2213,00;9,9%;7,2%;6,2%;4,2%;2,2%;1,2%
SOL+DEF;max;2314,00;12,3%;9,5%;7,6%;5,7%;3,7%;2,7%
SOL+DEF;max;2479,00;14,3%;11,5%;9,6%;7,6%;5,8%;3,7%
SOL+DEF;max;2561,00;15,2%;13,4%;11,5%;9,6%;6,7%;5,8%
SOL+DEF;max;2663,00;16,3%;14,4%;12,4%;10,6%;8,6%;7,6%
SOL+DEF;max;2929,00;17,2%;15,4%;13,4%;11,6%;10,6%;9,6%
SOL+DEF;max;3247,00;18,3%;16,9%;15,3%;13,8%;13,2%;12,6%
SOL+DEF;max;3585,00;19,5%;18,0%;16,5%;14,9%;14,3%;13,7%
SOL+DEF;max;3718,00;20,5%;19,2%;18,4%;15,9%;15,3%;14,7%
SOL+DEF;max;3933,00;21,5%;20,2%;19,6%;16,9%;16,3%;15,7%
SOL+DEF;max;4353,00;23,4%;22,1%;21,6%;19,0%;18,2%;17,6%
SOL+DEF;max;4620,00;24,4%;23,1%;22,5%;20,0%;19,4%;18,6%
SOL+DEF;max;4916,00;25,4%;24,1%;23,5%;21,0%;20,4%;19,8%
SOL+DEF;max;5204,00;26,4%;25,1%;24,5%;22,0%;21,4%;20,8%
SOL+DEF;max;5634,00;27,3%;26,1%;25,5%;23,9%;22,3%;21,8%
SOL+DEF;max;6064,00;28,8%;27,5%;27,0%;25,4%;23,8%;23,2%
SOL+DEF;max;6768,00;29,7%;28,7%;28,3%;27,0%;25,6%;25,2%
SOL+DEF;max;7236,00;30,7%;29,8%;29,3%;27,9%;26,6%;26,2%
SOL+DEF;max;7817,00;31,7%;30,8%;30,4%;28,9%;28,5%;27,1%
SOL+DEF;max;8500,00;32,6%;31,8%;31,4%;30,0%;29,0%;28,1%
SOL+DEF;max;9284,00;33,6%;32,7%;32,3%;31,0%;29,6%;29,1%
SOL+DEF;max;10018,00;35,1%;34,2%;33,8%;32,4%;32,0%;30,7%
SOL+DEF;max;12535,00;36,1%;35,2%;34,8%;33,4%;33,0%;31,7%
SOL+DEF;min;12535,00;37,0%;36,2%;35,8%;34,4%;34,0%;32,6%
CAS1+DEF;max;1650,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
CAS1+DEF;max;1753,00;0,8%;0,0%;0,0%;0,0%;0,0%;0,0%
CAS1+DEF;max;1905,00;3,7%;1,0%;0,2%;0,0%;0,0%;0,0%
CAS1+DEF;max;1972,00;4,7%;3,0%;2,2%;0,4%;0,0%;0,0%
CAS1+DEF;max;2342,00;5,7%;5,0%;3,2%;1,4%;0,0%;0,0%
CAS1+DEF;max;2520,00;6,6%;6,0%;4,2%;2,4%;0,6%;0,0%
CAS1+DEF;max;2767,00;8,5%;7,8%;6,2%;4,4%;3,6%;1,8%
CAS1+DEF;max;2971,00;9,5%;8,8%;7,2%;5,4%;4,6%;2,8%
CAS1+DEF;max;3186,00;11,0%;10,3%;8,6%;6,9%;6,1%;4,3%
CAS1+DEF;max;3356,00;12,2%;11,9%;10,5%;9,1%;8,7%;8,3%
CAS1+DEF;max;3513,00;13,6%;13,5%;12,0%;10,6%;10,2%;9,8%
CAS1+DEF;max;3616,00;14,6%;14,5%;14,1%;11,6%;11,2%;10,8%
CAS1+DEF;max;3826,00;15,6%;15,5%;15,1%;12,7%;12,2%;11,8%
CAS1+DEF;max;3933,00;16,6%;16,5%;16,1%;13,7%;13,3%;12,7%
CAS1+DEF;max;4251,00;17,5%;17,4%;17,1%;14,7%;14,3%;13,9%
CAS1+DEF;max;4456,00;18,5%;18,4%;18,0%;15,7%;15,3%;14,9%
CAS1+DEF;max;4891,00;19,5%;19,4%;19,0%;16,7%;16,3%;15,9%
CAS1+DEF;max;5316,00;20,5%;20,4%;20,0%;17,6%;17,2%;16,9%
CAS1+DEF;max;5526,00;21,5%;21,4%;21,0%;19,6%;18,2%;17,8%
CAS1+DEF;max;5961,00;22,4%;22,3%;22,0%;20,6%;19,2%;18,8%
CAS1+DEF;max;6274,00;23,4%;23,3%;22,9%;21,6%;20,2%;19,8%
CAS1+DEF;max;6858,00;24,7%;24,6%;24,5%;23,1%;22,0%;21,8%
CAS1+DEF;max;7385,00;25,7%;25,6%;25,5%;24,3%;23,9%;22,7%
CAS1+DEF;max;8224,00;26,7%;26,6%;26,5%;25,3%;25,1%;23,7%
CAS1+DEF;max;9178,00;27,6%;27,5%;27,4%;26,3%;26,1%;24,9%
CAS1+DEF;max;10232,00;29,1%;29,0%;28,9%;27,7%;27,5%;26,4%
CAS1+DEF;max;11287,00;30,0%;29,9%;29,8%;28,7%;28,5%;27,3%
CAS1+DEF;max;13008,00;31,5%;31,4%;31,3%;30,1%;29,9%;28,8%
CAS1+DEF;min;13008,00;32,4%;32,3%;32,2%;31,1%;30,9%;29,7%
CAS2+DEF;max;1310,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
CAS2+DEF;max;1414,00;1,2%;0,0%;0,0%;0,0%;0,0%;0,0%
CAS2+DEF;max;1455,00;3,6%;2,8%;0,0%;0,0%;0,0%;0,0%
CAS2+DEF;max;1639,00;4,6%;3,8%;1,9%;0,0%;0,0%;0,0%
CAS2+DEF;max;1956,00;6,6%;5,8%;4,1%;2,3%;1,5%;0,0%
CAS2+DEF;max;2079,00;8,0%;7,4%;5,5%;3,8%;3,0%;2,2%
CAS2+DEF;max;2213,00;9,9%;8,3%;7,5%;5,7%;4,0%;3,2%
CAS2+DEF;max;2314,00;12,3%;10,7%;9,0%;7,3%;6,4%;5,6%
CAS2+DEF;max;2479,00;14,3%;12,6%;10,9%;9,2%;7,4%;6,6%
CAS2+DEF;max;2561,00;15,2%;13,6%;12,8%;11,1%;9,4%;8,6%
CAS2+DEF;max;2663,00;16,3%;14,6%;13,8%;12,1%;10,4%;9,6%
CAS2+DEF;max;2929,00;17,2%;15,6%;14,8%;13,1%;11,4%;10,6%
CAS2+DEF;max;3247,00;18,3%;17,1%;16,7%;15,3%;14,0%;13,6%
CAS2+DEF;max;3585,00;19,5%;18,2%;17,8%;16,5%;15,1%;14,7%
CAS2+DEF;max;3718,00;20,5%;19,4%;18,8%;17,4%;17,1%;15,7%
CAS2+DEF;max;3933,00;21,5%;20,4%;20,0%;18,4%;18,0%;16,7%
CAS2+DEF;max;4353,00;22,9%;21,9%;21,5%;20,1%;19,5%;18,1%
CAS2+DEF;max;4620,00;23,9%;22,8%;22,4%;21,1%;20,7%;20,1%
CAS2+DEF;max;4916,00;24,9%;23,8%;23,4%;22,1%;21,7%;21,3%
CAS2+DEF;max;5204,00;25,9%;24,8%;24,4%;23,0%;22,6%;22,2%
