tipo;sinal;limite;maximo;parcela_abater;var1;var2;adicional;var3
SOLD;max;820;0,00%;0;0;0;0;0
SOLD;max;935;13,00%;13,00%;2,6;1135,39;34,29;5,8
SOLD;max;989;16,50%;16,50%;1,35;1386,11;34,29;7,6
SOLD;max;1125;16,50%;88,39;0;0;34,29;9
SOLD;max;1175;22,00%;150,26;0;0;34,29;9,2
SOLD;max;1769;25,00%;185,5;0;0;34,29;14,5
SOLD;max;2057;32,00%;309,36;0;0;34,29;17
SOLD;max;2408;35,50%;381,35;0;0;34,29;19,7
SOLD;max;3201;38,72%;458,76;0;0;34,29;24,4
SOLD;max;5492;40,05%;501,49;0;0;34,29;30,9
SOLD;max;20021;44,95%;770,33;0;0;34,29;41,1
SOLD;min;20021;47,17%;1215,8;0;0;34,29;-1
SOLCAS2;max;820;0,00%;0;0;0;0;0
SOLCAS2;max;935;13,00%;13,00%;2,6;1135,39;21,43;5,8
SOLCAS2;max;989;16,50%;16,50%;1,35;1386,11;21,43;7,6
SOLCAS2;max;1125;16,50%;88,39;0;0;21,43;8,6
SOLCAS2;max;1175;22,00%;150,26;0;0;21,43;9,2
SOLCAS2;max;1769;25,00%;185,5;0;0;21,43;14,5
SOLCAS2;max;2057;32,00%;309,36;0;0;21,43;17
SOLCAS2;max;2408;35,50%;381,35;0;0;21,43;19,7
SOLCAS2;max;3201;38,72%;458,76;0;0;21,43;24,4
SOLCAS2;max;5492;40,05%;501,49;0;0;21,43;30,9
SOLCAS2;max;20021;44,95%;770,33;0;0;21,43;41,1
SOLCAS2;min;20021;47,17%;1215,8;0;0;21,43;-1
CAS1;max;904;0,00%;0;0;0;0;0
CAS1;max;935;13,00%;13,00%;2,6;1251,62;42,86;1,6
CAS1;max;989;13,00%;13,00%;1,35;1545,09;42,86;3,1
CAS1;max;1070;13,00%;97,54;0;0;42,86;3,9
CAS1;max;1394;13,20%;99,68;0;0;42,86;6
CAS1;max;1912;16,50%;145,69;0;0;42,86;8,9
CAS1;max;2178;20,18%;216,11;0;0;42,86;10,3
CAS1;max;2671;23,62%;291,09;0;0;42,86;12,7
CAS1;max;3284;25,94%;352,9;0;0;42,86;15,2
CAS1;max;5906;30,72%;510,04;0;0;42,86;22,1
CAS1;max;20064;38,72%;981,97;0;0;42,86;33,8
CAS1;min;20064;47,17%;2678,4;0;0;42,86;-1
SOLCAS2+DEF;max;1677;0,00%;0;0;0;0;0
SOLCAS2+DEF;max;2012;22,00%;368,86;0;0;0;3,7
SOLCAS2+DEF;max;2428;32,00%;570,08;0;0;0;8,5
SOLCAS2+DEF;max;4376;35,50%;655,08;0;0;0;20,05
SOLCAS2+DEF;max;4634;38,72%;795,77;0;0;0;21,5
SOLCAS2+DEF;max;6621;40,05%;857,63;0;0;0;27,1
SOLCAS2+DEF;max;20265;44,95%;1181,74;0;0;0;39,1
SOLCAS2+DEF;min;20265;47,17%;1632,63;0;0;0;-1
SOLD+DEF;max;1919;0,00%;0;0;0;0;0
SOLD+DEF;max;2012;22,12%;424,35;0;0;42,86;1
SOLD+DEF;max;2785;32,00%;623,26;0;0;42,86;9,6
SOLD+DEF;max;4394;35,50%;720,75;0;0;42,86;19,1
SOLD+DEF;max;6687;38,72%;862,02;0;0;42,86;25,8
SOLD+DEF;max;6978;40,05%;951,3;0;0;42,86;26,4
SOLD+DEF;max;20265;44,95%;1292,88;0;0;42,86;38,6
SOLD+DEF;min;20265;47,17%;1743,78;0;0;42,86;-1
CAS2D+DEF;max;1651;0,00%;0;0;0;0;0
CAS2D+DEF;max;2023;22,00%;363,15;0;0;21,43;4
CAS2D+DEF;max;2441;25,00%;423,84;0;0;21,43;7,6
CAS2D+DEF;max;3037;32,00%;594,69;0;0;21,43;12,4
CAS2D+DEF;max;4394;35,50%;700,99;0;0;21,43;19,5
CAS2D+DEF;max;6687;38,72%;842,26;0;0;21,43;26,1
CAS2D+DEF;max;6978;40,05%;931,54;0;0;21,43;26,7
CAS2D+DEF;max;20265;44,95%;1273,12;0;0;21,43;38,7
CAS2D+DEF;min;20265;47,17%;1724,02;0;0;21,43;-1
CAS1+DEF;max;2302;0,00%;0;0;0;0;0
CAS1+DEF;max;3394;23,62%;543,85;0;0;42,86;7,6
CAS1+DEF;max;3652;25,94%;622,41;0;0;42,86;8,9
CAS1+DEF;max;6621;30,72%;797,17;0;0;42,86;18,7
CAS1+DEF;max;20265;42,44%;1573,11;0;0;42,86;34,7
CAS1+DEF;min;20265;47,17%;2530,87;0;0;42,86;-1
