tipo;sinal;limite;maximo;parcela_abater;var1;var2;adicional;var3
SOLD;max;870;0,00%;0;0;0;0;0
SOLD;max;992;13,00%;13,00%;2,6;1208,32;34,29;5,6
SOLD;max;1070;16,50%;16,50%;1,35;1477,67;34,29;8
SOLD;max;1136;16,50%;90,81;0;0;34,29;8,5
SOLD;max;1187;22,00%;153,29;0;0;34,29;9,1
SOLD;max;1787;25,00%;188,90;0;0;34,29;14,4
SOLD;max;2078;32,00%;313,99;0;0;34,29;16,9
SOLD;max;2432;35,50%;386,72;0;0;34,29;19,6
SOLD;max;3233;38,72%;465,03;0;0;34,29;24,3
SOLD;max;5547;40,05%;508,03;0;0;34,29;30,9
SOLD;max;20221;44,95%;779,83;0;0;34,29;41,1
SOLD;min;20221;47,17%;1228,74;0;0;34,29;-1
SOLCAS2;max;870;0,00%;0;0;0;0;0
SOLCAS2;max;992;13,00%;13,00%;2,6;1208,32;21,43;5,6
SOLCAS2;max;1070;16,50%;16,50%;1,35;1477,67;21,43;8
SOLCAS2;max;1136;16,50%;90,81;0;0;21,43;8,5
SOLCAS2;max;1187;22,00%;153,29;0;0;21,43;9,1
SOLCAS2;max;1787;25,00%;188,90;0;0;21,43;14,4
SOLCAS2;max;2078;32,00%;313,99;0;0;21,43;16,9
SOLCAS2;max;2432;35,50%;386,72;0;0;21,43;19,6
SOLCAS2;max;3233;38,72%;465,03;0;0;21,43;24,3
SOLCAS2;max;5547;40,05%;508,03;0;0;21,43;30,9
SOLCAS2;max;20221;44,95%;779,83;0;0;21,43;41,1
SOLCAS2;min;20221;47,71%;1228,74;0;0;21,43;-1
CAS1;max;957;0,00%;0;0;0;0;0
CAS1;max;992;13,00%;13,00%;2,6;1324,55;42,86;1,7
CAS1;max;1070;13,00%;13,00%;1,35;1632,65;42,86;3,8
CAS1;max;1081;13,00%;98,75;0;0;42,86;3,9
CAS1;max;1408;13,20%;100,91;0;0;42,86;6
CAS1;max;1931;16,50%;147,37;0;0;42,86;8,9
CAS1;max;2200;20,18%;218,43;0;0;42,86;10,3
CAS1;max;2698;23,62%;294,11;0;0;42,86;12,7
CAS1;max;3317;25,94%;356,70;0;0;42,86;15,2
CAS1;max;5965;30,72%;515,25;0;0;42,86;22,1
CAS1;max;20265;38,72%;992,45;0;0;42,86;33,8
CAS1;min;20265;47,17%;2704,84;0;0;42,86;-1
SOLCAS2+DEF;max;1694;0,00%;0;0;0;0;0
SOLCAS2+DEF;max;2032;22,00%;372,68;0;0;0;3,7
SOLCAS2+DEF;max;2452;32,00%;575,88;0;0;0;8,5
SOLCAS2+DEF;max;4220;35,50%;661,7;0;0;0;20,05
SOLCAS2+DEF;max;4680;38,72%;804,02;0;0;0;21,5
SOLCAS2+DEF;max;6867;40.05%;866,26;0;0;0;27,1
SOLCAS2+DEF;max;20468;44,95%;1193,92;0;0;0;39,1
SOLCAS2+DEF;min;20468;47,17%;1648,31;0;0;0;-1
SOLD+DEF;max;1938;0,00%;0;0;0;0;0
SOLD+DEF;max;2032;22,12%;428,69;0;0;42,86;1
SOLD+DEF;max;2813;32,00%;629,45;0;0;42,86;9,6
SOLD+DEF;max;4438;35,50%;727,91;0;0;42,86;19,1
SOLD+DEF;max;6754;38,72%;870,81;0;0;42,86;25,8
SOLD+DEF;max;7048;40,05%;960,64;0;0;42,86;26,4
SOLD+DEF;max;20468;44,95%;1305,99;0;0;42,86;38,6
SOLD+DEF;min;20468;47,17%;1760,38;0;0;42,86;-1
CAS2D+DEF;max;1668;0,00%;0;0;0;0;0
CAS2D+DEF;max;2043;22,00%;366,96;0;0;21,43;4
CAS2D+DEF;max;2465;25,00%;428,25;0;0;21,43;7,6
CAS2D+DEF;max;3067;32,00%;600,8;0;0;21,43;12,4
CAS2D+DEF;max;4438;35,50%;708,15;0;0;21,43;19,5
CAS2D+DEF;max;6754;38,72%;851,05;0;0;21,43;26,1
CAS2D+DEF;max;7048;40,05%;940,88;0;0;21,43;26,7
CAS2D+DEF;max;20468;44,95%;1286,23;0;0;21,43;38,7
CAS2D+DEF;min;20468;47,17%;1740,62;0;0;21,43;-1
CAS1+DEF;max;2325;0,00%;0;0;0;0;0
CAS1+DEF;max;3428;23,62%;549,17;0;0;42,86;7,6
CAS1+DEF;max;3689;25,94%;628,7;0;0;42,86;8,9
CAS1+DEF;max;6687;30,72%;805,03;0;0;42,86;18,7
CAS1+DEF;max;20468;42,44%;1588,75;0;0;42,86;34,7
CAS1+DEF;min;20468;47,17%;2556,89;0;0;42,86;-1
